,pk,pre_nes_uid,Gender,DOB,DOB_reg,research_group,birth_place,birth_place_lat,birth_place_lng,current_residence_in_targetplace,current_residence,current_residence_lat,current_residence_lng,education_level,raised_in_targetplace,raised_place,generations_in_targetplace,time_away_from_targetplace,time_away_from_targetplace_elaboration,plan_to_live_in_targetplace,mother_tongue,mother_tongue_other,mother_tongue_itsComplicated,how_long_target,rate_target_speaking,rate_target_listening,formal_education_in_target,formal_education_elaboration,rate_polish_speaking,rate_polish_listening,know_other_languages,addLang_1,AL1c,addLang_1_rate_speaking,addLang_1_rate_listening,addLang_2,AL2c,addLang_2_rate_speaking,addLang_2_rate_listening,addLang_3,AL3c,addLang_3_rate_speaking,addLang_3_rate_listening,addLang_4,AL4c,addLang_4_rate_speaking,addLang_4_rate_listening,addLang_5,AL5c,addLang_5_rate_speaking,addLang_5_rate_listening,target_used_in_home,number_target_interlocuters,n_target_inter_reg,frequency_speaking_target,target_study_time,use_target_with_grandparents,use_target_with_parents,use_target_with_siblings,use_target_with_children,use_target_with_familyGathering,use_target_with_friends,use_target_with_neighbors,use_target_with_coworkers,use_target_with_businessActivities,use_target_with_romanticPartner,use_target_with_church,use_target_with_healthCare,use_target_with_shopping,use_target_with_socialMedia,use_target_with_elaboration,target_internal_dialogue,target_dreams,foreign_target_users,target_language_how_long,target_language_motivation,target_langauge_engagement,target_culture_engagement,parents_support_language_engagement,parents_support_culture_engagement,family_against_language_engagement,peers_against_langauge_engagement,people_against_elaboration,pride_speaking_target,shame_speaking_target,avoids_target,avoids_target_elaboration,target_speaker_criticism,locals_should_target,target_taught_to_schoolChildren,target_transmission_important,anything_to_add
21,39,,male,2002-12-02,2002-12,csb,Chojnice,53.69528,17.563055,TRUE,Brusy,53.886667,17.717778,not finished Bachelor,True,Brusy,3+,False,,probably yes,polish,,,,7,8,a1,"Uważam, że nie. Edukację kaszubskiego odbierałem tylko przez niecałe trzy lata w podstawówce.",9,9,True,Angielski,English,7,8,,,,,,,,,,,,,,,,,sometimes,2,2,rarely,>1 hour/week,maybe,unlikely,very unlikely,very unlikely,very unlikely,unlikely,never,never,never,very unlikely,unlikely,never,very unlikely,unlikely,,sometimes,never,strongly agree,Około 3 lat,"1. Nauka w liceum w Chojnicach gdzie poczułem odrębność i przynależność do Kaszubów
2. Zainteresowanie historią rodziny
3. Wpływ niektórych znajomych",2,4,they are neutral,they are neutral,no one,no one,"Ciekawostka. Moja babcia, która zna kaszubski najlepiej w rodzinie, mówi, że to brzydki język i nie mam tak mówić. Babcia nie mówi jednak już po kaszubsku ale często „kaszubi”. Nie powiedziałbym też, że jest przeciwna mojemu zaangażowaniu w język kaszubski.",sometimes,never,True,"Wydaje mi się, że niektórzy ludzie mogliby traktować to jako naśmiewanie się",never,agree,strongly agree,strongly agree,
22,40,,male,1995-08-27,1995-08,ru,Siemianowice Śląskie,50.3025,19.033611,,Siemianowice Śląskie,50.3025,19.033611,not finished Master,,,,,,probably no,other,śląski,,,8,9,c2,"Studia magisterskie odbyłem w formie zdalnej, więc praktyczna nauka języka stała na bardzo niskim poziomie, niemniej wydaje mi się, że czerpana skądinąd wiedza rzeczywiście pozwala mi na określenie swojego poziomu jako C2.",9,9,True,ukraiński,Ukrainian,8,9,białoruski,Belarusian,6,8,angielski,English,6,7,chorwacki,Croatian,4,6,kaszubski,Kashubian,3,7,never,10,10,once per week,4-5 hours/week,,,,,,,,,,,,,,,,often,often,,ok. 7 lat,"Ciężko pisać o początkowych motywacjach, rozpoczęcie znajomości z językiem rosyjskim było dziełem przypadku, szybko doszło jednak pragnienie kontaktu z literaturą rosyjską w oryginale. Obecnie celowo się nie uczę, podtrzymuję natomiast bardzo częsty kontakt, który pomaga zapamiętywać leksykę oraz konstrukcje gramatyczne.",,,,,,,,,,,,,,,,
23,41,,male,1997-08-14,1997-08,ru,Bydgoszcz,52.407918,16.933467,,Poznań,52.407918,16.933467,not finished Master,,,,,,I don't know,polish,,,,4,7,b1,"Tak, choć wcześniej moje zdolności przewyższały mój poziom formalnej edukacji",9,9,True,Angielski,English,7,7,Turecki,Turkish,7,7,Kazachski,Kazakh,5,5,,,,,,,,,never,3,3,once per week,>1 hour/week,,,,,,,,,,,,,,,,sometimes,never,,Od 2013 roku,"Zacząłem naukę rosyjskiego w liceum, bez jakichś konkretnych ambicji. Przez te 3 lata ten język spodobał mi się tak bardzo, że poświęcałem dużo dodatkowego czasu na naukę go w domu. Używając go niemal codziennie osiągnąłem poziom pozwalający mi podejść do matury rozszerzonej w 2016 z rezultatem oscylującym wokół 60%. Po skończeniu liceum i rozpoczęciu studiów turkologicznych nie dysponowałem już taką ilością czasu na naukę rosyjskiego, zacząłem używać go w coraz mniejszym stopniu. Najczęściej używam go w celach naukowych, z powodu bogatej bibliografii w dziedzinie turkologii w języku rosyjskim. Znajomość tego języka otworzyła mi dostęp do źródeł niedostępnych dla większości studentów nieznających rosyjskiego. Ubogaciło i ułatwiło to mi m.in. napisanie pracy licencjackiej",,,,,,,,,,,,,,,,
24,42,,male,1985-11-28,1985-11,ru,Konin,52.228108,18.254067,,Toruń,53.012953,18.605666,post Master education,,,,,,I don't know,polish,,,,8,8,c2,"Jeśli poziom C2 uznamy za poziom zbliżony do poziomu nosiciela języka, to zapewne daleko mi do tego poziomu. Z drugiej strony wykształcenie filologiczne i - w związku z tym - ilość godzin, jakie poświęciłem na naukę języka sprawia, że uważam, iż mój poziom jest wyższy niż C1.",9,9,True,Rosyjski,Russian,8,9,angielski,English,6,7,czeski,Czech,4,7,,,,,,,,,never,1-3,3,rarely,1-2 hours/week,,,,,,,,,,,,,,,,sometimes,never,,od 15 lat,"Chciałem uczyć się na studiach czeskiego, ale właśnie zamknęli kierunek. Rosyjski był moim drugim wyborem. Motywacja do nauki rosła wraz ze znajomością języka. Obecnie pracuję na uniwersytecie, więc - jako slawista/rusycysta - cały czas mam kontakt z językiem rosyjskim. Głównie jednak jest to kontakt bierny.",,,,,,,,,,,,,,,,
25,43,,male,1983-08-08,1983-08,ru,Łódź,51.764444,19.463055,,Łódź,51.764444,19.463055,post Master education,,,,,,I don't know,polish,,,,8,7,none,"Edukacja - 5 lat nauki w szkole podstawowej, kolejne 2,5 na studiach. Żaden z programów nauczania nie stosował systemu A1-C2.
Oceniam się na poziom C1.",9,9,True,angielski,English,8,6,bułgarski,Bulgarian,8,8,macedoński,Macedonian,5,7,BCMS,BCMS,5,6,ukraiński,Ukrainian,3,7,never,5,5,a few times per week,<9 hours/week,,,,,,,,,,,,,,,,often,never,,Około 30 lat,"Po prostu podobał mi się, chciałem się nauczyć obcego alfabetu - to w czasach wczesnej podstawówki. Potem przyswajalne go niejako automatycznie, z książek, internetu, rozmów z ludźmi. W tej chwili jest dla mnie narzędziem, które daje mi dostęp nie tylko do Rosji, ale też całego terytorium dawnego ZSRR, także w krajach, których języki narodowe znam jeszcze słabo, lub wcale.",,,,,,,,,,,,,,,,Chyba nie.
26,44,80100419,male,1999-04-15,1999-04,wym,"Sankt Petersburg, Rosja",,,FALSE,Warszawa,54.113036,17.332904,not finished Bachelor,False,"Sankt Petersburg, Rosja",NA,True,"Przyjeżdżałem do Wilamowic w goście, na badania terenowe oraz wydarzenia kulturalne. Z reguły na krótki okres - od kilku dni do tygodnia. Parokrotnie, wyjątkowo, na kilka tygodni. Nigdy nie mieszkałem w Wilamowicach przez dłuższy czas.",probably no,other,rosyjski,,,5,8,none,"Myślę, że posługuję się wilamowskim na poziomie B1. Potrafię wyrazić większość swoich myśli, ale często w sposób prymitywny, gdyż moje środki językowe (szczególnie leksykalne) są wciąż dość ograniczone, żeby zapewnić płynność wypowiedzi sięgam po zapożyczenia z polskiego, bo (prawie) każdy użytkownik tego języka mówi też po polsku. Mój język pisany jest lepszy od mówionego: mam więcej czasu, by zastanowić się nad tym, jak ująć jakąś myśl, mogę użyć też słownika. Ze słownikiem piszę nawet wiersze. Język mówiony rozumiem bardzo dobrze: czasem nie rozumiem jakiegoś słówka, ale z reguły domyślam się z kontekstu, o co chodzi. Z rozumieniem języka pisanego idzie mi gorzej, gdyż częściej używa się wyrazów rzadkich, nie spotykanych zbyt często w mowie potocznej.",9,9,True,angielski,English,7,8,czeski,Czech,6,8,niemiecki,German,3,4,śląski,Silesian,7,8,,,,,never,"Nie więcej, niż z 12. Z większością z parę razy na rok. Najczęściej z Tymkiem Królem - z reguły raz czy kilka razy na miesiąc.",12,rarely,>1 hour/week,never,never,never,unlikely,never,likely,never,never,never,maybe,never,never,never,likely,"Rozmawiam po wilamowsku tylko z tymi, którzy rozumią ten język. Czasem mogę coś powiedzieć, jeśli się mnie poprosi (bo np. ktoś go nigdy nie słyszał i jest ciekaw, jak brzmi). Zdarzało mi się używać wilamowskiego w kontaktach z osobami, z którymi nie chciałem rozmawiać, ale byłem przez nie zagadywany: po parze zdań z reguły rezygnują z prób dogadania się, bo nie rozumieją, co do nich mówię.",sometimes,never,strongly agree,Uczę się od 2017 roku. Rozmawiać w nim zacząłem od 2018.,Uważam go za piękny i bardzo ciekawy język - spodobał mi się i dlatego zacząłem się uczyć. Nie bez znaczenia tu było zainteresowanie wilamowską kulturą oraz historią Wilamowic.,4,3,they are neutral,they are neutral,no one,no one,"Dla większości z moich znajomych jest to nie więcej, niż ciekawostka. Potrafią powiedzieć, że w sumie to fajne, ale sami nie są zainteresowani tematem. Nie pamiętam jednak, by ktokolwiek był temu przeciwny.",sometimes,never,False,,constructively,agree,neutral,strongly agree,"To bardzo trudne, by nie zapomnieć języka, nie mieszkając w Wilamowicach, bo prawie wszyscy jego użytkownicy mieszkają tam i (przez wzgląd na ich wiek) nie posługują się internetem, toteż rozmowa z nimi możliwa jest głównie wyłącznie na żywo."
27,45,,male,1986-08-03,1986-08,ru,Siemiatycze,52.429723,22.865,,Siemiatycze,52.429723,22.865,finished Master,,,,,,definitely no,polish,,,,6,9,b1,"Pytanie nie jest dla mnie jasno sformułowane, więc nie wiem, czy do końca rozumiem. Uczyłem się rosyjskiego w liceum na lekcjach. Były to podstawy, które od tego czasu znacznie rozwinąłem poprzez kontakt poza szkołą.",9,9,True,ukraiński,Ukrainian,6,9,,,,,,,,,,,,,,,,,never,3,3,rarely,5-6 hours/week,,,,,,,,,,,,,,,,never,never,,ok 17 lat,"Motywacją było przede wszystkim bogactwo zasobów rosyjskojęzycznego internetu, nieporównywalnie większe zarówno dawniej, jak i dzisiaj, w stosunku do internetu polskojęzycznego. Wpływ miało również zamieszkiwane w wielokulturowym regionie Białostocczyzny, gdzie z językami wschodniosłowiańskimi, w tym z rosyjskim, człowiek może zetknąć się o wiele częściej niż w pozostałych częściach Polski. Przez to nie miałem żadnych uprzedzeń do rosyjskiego, tak częstych w Polsce, a wręcz przeciwnie – traktowałem go trochę jako jeden z elementów kultury miejsca zamieszkania i klucz, który pozwoli przybliżyć kulturę wschodniosłowiańską ogółem, jak i języki białoruski i ukraiński w szczególności.",,,,,,,,,,,,,,,,
28,46,,male,1986-11-15,1986-11,csb,Szczecin,53.431815,14.54676,FALSE,Berlin,,,post Master education,False,Warszawa,3+,True,"W Warszawie, w Korei Poludniowej i obecnie w Niemczech.",I don't know,kashubian,,,,8,9,none,Tak. Uczylem sie tego jezyka w domu i wsrod rodziny.,8,9,True,Niemiecki,German,7,9,Rosyjski,Russian,9,9,Białoruski,Belarusian,7,9,Angielski,English,8,8,Koreański,Korean,5,6,sometimes,5,5,once per week,>1 hour/week,always,likely,maybe,unlikely,very likely,maybe,unlikely,never,very unlikely,likely,never,maybe,maybe,likely,Mieszkajac w Berlinie trudno odpowiadac na te pytania natomiast w kregu rodzinnym albo na Kaszubach czy w mediach spol. posluguje sie kaszubskim,often,often,agree,Od 35 lat,Od dziecka a potem okazalo sie ze jest literatura i mozna czytac ksiazki po kaszubsku.,6,2,they like it,they like it,> one person,> one person,"Wiekszosc mowi a po co, to dialekt, po co ci to i tak nikt nie gada itd.",sometimes,never,False,,hurtfully,strongly agree,strongly agree,strongly agree,Nic
29,47,,male,1991-06-13,1991-06,de,Gdynia,54.349722,18.653611,,Kraków,50.061781,19.93737,post Master education,,,,,,I don't know,complicated,,"Językiem kontaktów rodzinnych z ojcem i dziadkiem (ojcem ojca), a także z dalszą rodziną ojca był kaszubski. Z babcią (matką ojca) rozmawiałem głównie po niemiecku. Z matką w domu tylko po polsku. W szkole posługiwałem się głównie polskim, zaś kaszubskim z kilkorgiem kolegów. Na podwórku posługiwałem się zarówno polskim jak i kaszubskim. Do ukończenia szkoły podstawowej mieszkałem w Gdyni, gdzie miałem regularny kontakt z kaszubszczyzną, co zresztą spotykało się z dezaprobatą matki, która dbała o to, bym mówił poprawnie po polsku.",,9,9,none,"Nie odbyłem żadnej formalnej edukacji w języku niemieckim. Znajomość niemieckiego wyniosłem w domu, a następnie kontynuowałem naukę tego języka już jako dorosły człowiek w ramach kursów na poziomie C1 i C2.",9,9,True,angielski,English,7,6,kaszubski,Kashubian,4,8,rosyjski,Russian,2,4,hiszpański,Spanish,2,3,,,,,often,1,1,a few times per week,6-7 hours/week,,,,,,,,,,,,,,,,very often,often,,"zasadniczo od urodzenia, a zatem ponad 30 lat","Znajomość niemieckiego do poziomu B2/C1 wyniosłem zasadniczo z domu. Uczęszczanie na kursy na wyższym poziomie to była moja świadoma decyzja, podyktowana zarówno historią rodzinną, ale też i perspektywami zawodowymi. Lubię język niemiecki, zarówno jego brzmienie jak i gramatykę. Posługiwanie się niemieckim sprawia mi przyjemność.",,,,,,,,,,,,,,,,
30,49,,other,2002-10-21,2002-10,csb,Gdańsk,54.349722,18.653611,TRUE,Gdańsk,54.349722,18.653611,not finished secondary school,True,Gdańsk,3+,False,,definitely yes,polish,,,,2,7,none,"nie mam żadnego i uważam, że nie umiem mówić po kaszubsku do tego stopnia, żeby jakiś mieć",9,9,True,angielski,English,8,8,niemiecki,German,3,2,,,,,,,,,,,,,sometimes,5,5,a few times per week,2-3 hours/week,likely,very likely,very unlikely,maybe,likely,very likely,very unlikely,very unlikely,very unlikely,likely,never,never,very unlikely,very likely,"większość mojej kaszubskiej rodziny nie pamięta już kaszubskiego lub go nigdy dobrze nie znała, ale ja mówiąc po kaszubsku ""wymuszam"" na nich odpowiadanie mi po kaszubsku i zachęcam do używania tego języka",very often,never,strongly agree,od września 2021,"jest to język mojej rodziny i moich przodków i uważam, że nie można o tym zapomnieć i dać mu umrzeć",7,6,they support it,they are neutral,no one,no one,"raczej jest to niezrozumienie i uznanie tego za niepotrzebne, niż bycie przeciwko nastawionym",always,sometimes,True,moja osobista bariera językowa,never,strongly agree,strongly agree,strongly agree,
31,50,,male,1991-01-21,1991-01,de,Kraków,50.061781,19.93737,,Gdańsk,54.349722,18.653611,finished Master,,,,,,I don't know,polish,,,,7,8,c1,Tak,9,9,True,Angielski,English,9,9,Hiszpański,Spanish,5,7,Francuski,French,2,2,,,,,,,,,never,3,3,rarely,1-2 hours/week,,,,,,,,,,,,,,,,never,sometimes,,"Zacząłem w szkole podstawowej, czyli ponad 25 lat, ale w ciągu tego czasu miałem przerwy i mniej i bardziej intensywne etapy nauki.","Rodzina mojego ojca przeprowadziła się do Niemiec i odwiedzałem ich jako dziecko. Później na studiach spędziłem rok w Niemczech na erazmusie. Po powrocie zaangażowałem się w organizację polsko-niemieckich wymian studenckich i zacząłem kurs na poziomie C1/C2, zakończony Certyfikatem wirtschaftsdeutsch. Główna motywacja to ogólne zainteresowanie językami obcymi, osobiste kontakty z Niemcami, nie wykorzystywałem go w pracy, poza pojedynczymi sytuacjami.",,,,,,,,,,,,,,,,
32,51,,female,2002-03-27,2002-03,de,Krosno,49.692126,21.766841,,Kraków,50.061781,19.93737,not finished Bachelor,,,,,,probably yes,polish,,,,5,6,a2,"Myślę, że tak.",9,9,True,Angielski,English,4,5,,,,,,,,,,,,,,,,,never,1,1,a few times per week,8-9 hours/week,,,,,,,,,,,,,,,,sometimes,sometimes,,3 lata,Podobał mi się.,,,,,,,,,,,,,,,,
33,53,,male,1999-06-30,1999-06,de,Kraków,50.061781,19.93737,,Kraków,50.061781,19.93737,not finished Bachelor,,,,,,I don't know,polish,,,,8,7,c1,"Na ten moment niestety nie, ponieważ poziom na studiach licencjackich jest zdecydowanie niższy od tego, jaki miałem w liceum, gdzie uczęszczałem na profil DSD. Gdyby poziom pozostał taki sam na pewno oddawałby moje rzeczywiste zdolności.",9,9,True,Angielski,English,6,5,,,,,,,,,,,,,,,,,sometimes,5,5,everyday,5-6 hours/week,,,,,,,,,,,,,,,,sometimes,never,,Od 1 klasy gimnazjum,"Chciałem zacząć się uczyć języka niemieckiego, ponieważ mam rodzinę w Niemczech. Ponadto język ten spodobał mi się, dlatego chciałem go dobrze opanować, ponieważ w dzisiejszych czasach oferty pracy dla osób z dobrą znajomością języków obcych są powszechne.",,,,,,,,,,,,,,,,
34,54,,female,2001-12-20,2001-12,de,Kraków,50.061781,19.93737,,Kraków,50.061781,19.93737,not finished Bachelor,,,,,,I don't know,polish,,,,6,7,b2,Tak,9,9,True,Język angielski,English,5,6,,,,,,,,,,,,,,,,,never,3,3,a few times per week,5-6 hours/week,,,,,,,,,,,,,,,,sometimes,never,,8 lat,"Rodzina w Niemczech
Przydatność tego języka w późniejszych działaniach zawodowych
Chęć posługiwania się biegle nie tylko językiem ojczystym",,,,,,,,,,,,,,,,
35,55,,female,2000-07-06,2000-07,ru,Białystok,54.390007,18.395937,,Poznań,52.407918,16.933467,not finished Bachelor,,,,,,definitely no,polish,,,,7,8,b2,"Tak, uważam, że oddaje moje rzeczywiste zdolności, ale to dzięki temu, że sama poświęcam dużo czasu na naukę.",9,9,True,Angielski,English,8,8,,,,,,,,,,,,,,,,,sometimes,6,6,everyday,<9 hours/week,,,,,,,,,,,,,,,,often,never,,4 lata,"Zaczęłam naukę w liceum i nie chciałam zaprzepaścić tego, co już się nauczyłam i podjęłam decyzję o kontynuowaniu uczenia się rosyjskiego.",,,,,,,,,,,,,,,,
36,56,,other,1999-08-17,1999-08,de,Kraków,50.061781,19.93737,,Kraków,50.061781,19.93737,not finished Bachelor,,,,,,probably yes,complicated,,"Polski, ale jako dziecko mieszkałem w niemczech, gdzie tylko w domu z rodzicsmi mowilem po polsku, z bratem po niemiecku, poza domem po niemiecku",,7,8,c1,B2/C1 - tak. Pracuje z jezykiem niemieckim,9,9,True,Angielski,English,6,8,Duński,Danish,3,3,,,,,,,,,,,,,never,Dużo -  w pracy,,a few times per week,<9 hours/week,,,,,,,,,,,,,,,,very often,never,,Od 3 roku życia - 19 lat,Wyjazd rodzinny do Niemiec,,,,,,,,,,,,,,,,
37,57,,female,2000-02-22,2000-02,ru,Lidzbark,54.125878,20.582927,,Poznań,52.407918,16.933467,not finished Bachelor,,,,,,probably no,polish,,,,6,7,c2,"Zdecydowanie nie. Na studiach uczymy się tworzyć dokumenty, w których niejednokrotnie wymagane jest zaawansowane słownictwo. Uważam, że ciężko jest się go nauczyć, podczas gdy niejednokrotnie, nie znamy jego znaczenia w języku polskim.",9,9,True,Angielski,English,6,8,,,,,,,,,,,,,,,,,never,50,50,everyday,8-9 hours/week,,,,,,,,,,,,,,,,very often,never,,3 lata,"Język rosyjski jest bardzo melodyczny i przyjemny dla ucha. Od zawsze mi się podobał i często zwracałam uwagę na treści w tym języku. Idąc na studia miałam również w głowie fakt, że wiele firm w Polsce pracowało ze Wschodem i była to szansa na zatrudnienie. Niestety przez sytuację na Ukrainie w tym momencie wszystko się zmieniło.",,,,,,,,,,,,,,,,
38,59,,male,1997-04-24,1997-04,ru,Garwolin,51.897505,21.615537,,Warszawa,54.113036,17.332904,not finished Master,,,,,,probably no,polish,,,,9,9,b2,"Nie, uważam, że jest on za niski, tj. w rzeczywistości posiadam wyższy poziom niż ten oferowany mi przez uniwersytet.",9,9,True,angielski,English,9,9,białoruski,Belarusian,9,9,włoski,Italian,7,7,norweski,Norwegian,6,6,ukraiński,Ukrainian,6,9,never,5,5,once per week,>1 hour/week,,,,,,,,,,,,,,,,sometimes,never,,"Aktywnie uczyłem się około roku, używam od czterech lat","Mieszkając w Gruzji był to najszybszy sposób, aby móc nawiązać jakąkolwiek interakcję z mieszkańcami okolicy, w której mieszkałem. Był to ""wstęp"" i chwilowy fundament nawiązywania relacji przed tym jak nauczyłbym się już gruzińskiego. + był istotny w podróżach do Azji Centralnej i Kaukazu.",,,,,,,,,,,,,,,,
39,60,,male,2000-07-14,2000-07,csb,Bytów,54.168889,17.489445,TRUE,Tuchomie i Gdańsk,54.113036,17.332904,not finished Bachelor,True,Tuchomie,3+,False,,definitely yes,polish,,,,7,8,none,Chodziłem na lekcje języka kaszubskiego przez 6 lat w szkole podstawowej oraz przez 4 lata w technikum. Na maturze z języka kaszubskiego w 2020 roku osiągnąłem wynik 70% a od roku 2021 studiuję etnofilologię kaszubską.,9,9,True,angielski,English,6,8,niemiecki,German,4,6,rosyjski,Russian,3,6,,,,,,,,,very often,15,15,everyday,7-8 hours/week,always,very likely,unlikely,unlikely,very likely,very likely,very unlikely,very unlikely,never,unlikely,very unlikely,never,maybe,likely,"Mieszkam w okolicy w której bardzo rzadko słychać kaszubski na ulicy. Niektórzy z moich sasiadów sporadycznie mówią po kaszubsku, jednak zazwyczaj ogranicza się to do jakiegoś krótkiego wtrącenia w polskojęzycznej wypowiedzi. W kontaktach z rodziną kaszubski był dla mnie pierwszym językiem gdy miałem kilka lat, z czasem został zupełnie wyparty przez polski. Później, w wieku 16 lat zacząłem częściej używać kaszubskiego wśród rodziny i w kontaktach z niektórymi krewnymi kaszubski jest dla mnie równie naturalny jak kaszubski. Rozmawiam po kaszubsku z przyjaciółmi którzy wyrażają na to chęć, jest to kilkanaście osób. Niektórzy z moich rówieśników stosują kaszubskie wtrącenia czy kaszubizmy podczas mówienia po polsku.",often,sometimes,strongly agree,"Zaczynałem mówić w języku kaszubskim,","do pyt wyżej :  więc początkowo używałem go aktywnie jednak szybko został on u mnie wyparty przez polski. W szkołach uczyłem się kaszubskiego łącznie przez 10 lat i obecnie jestem na pierwszym roku etnofilologii kaszubskiej, W wieku około 16 lat zacząłem coraz bardziej aktywnie używać kaszubskiego w kontaktach z krewnymi i obecnie aktywnie porozumiewam się po kaszubsku z kilkoma grupami ludzi.

***

Kierowała mną chęć zachowania i przekazania dalej przekazu ustnego mojej rodziny i kaszubskiej wspólnoty. Jeszcze ważniejsza była chęć porozumiewania się z krewnymi i innymi osobami w języku kaszubskim, szczególnie z tymi, dla których kaszubski jest pierwszym językiem. Wszystko to wynika w dużym stopniu z mojego przywiązania do tradycji.",6,6,they strongly support it,they strongly support it,no one,no one,,very often,sometimes,False,,hurtfully,strongly agree,strongly agree,strongly agree,"Poczucie wstydu towarzyszące mówieniu po kaszubsku czasami towarzyszyło mi w miejscach publicznych, z czasem zanikło i zdarzało mi się rozmawiać z kimś po kaszubsku z zamiarem ""pokazowym"", także poza kaszubskim obszarem etnicznym. W wieku kilku lat zostałem skrytykowany przez sąsiadkę niebędącą Kaszubką za mówienie po kaszubsku, a nie po polsku. Prawdopodobnie zakorzeniło to we mnie dodatkowe poczucie wstydu zwiazanego z posługiwaniem się tym językiem. Poczucie wstydu chyba najczęsciej towarzyszyło mi w momentach, gdy inna osoba kaszubskojęzyczna skrytykowała mnie za używanie kaszubskiego niepoprawnie, mówiąc, że lepiej mówić po polsku jak mi ciężko. Byłem także krytykowany za używanie neologizmów bądź słów które nie były znane w kaszubszczyźnie mojej rodziny, Zdarzało mi się też, że rozmawiałem po kaszubsku z osobami starszymi, które znały język kaszubski, a jednak odpowiadały mi po polsku, a czasami miałem wrażenie, że moja chęć rozmowy po kaszubsku zniechęca ich do konwersacji."
