nespomila_uid,manual_uid,nsw_t1_uid,Gender,research_group,AQ10,AQ11,AQ12,AQ13_1,AQ13_2,AQ14,AQ15,AQ16,AQ17,AQ18,AQ19,AQ1c,AQ1d,DOB,AQ2,AQ20,AQ21,AQ22,AQ23,AQ3,generations_scale,AQ3_1,AQ3_2,AQ3_2_lat,AQ3_2_lng,AQ4,AQ4_1,plan_to_live_in_targetplace,AQ4_2_1,AQ4_2_1_lat,AQ4_2_1_lng,AQ4_2_2,AQ5_1,AQ5_2,AQ6_1,AQ6_2,AQ7,AQ8_1,n_target_inter_reg,AQ8_2,AQ9,Q7_1_1a,AL1c,Q7_1_1b,Q7_1_1c,Q7_1_2a,AL2c,Q7_1_2b,Q7_1_2c,Q7_1_3a,AL3c,Q7_1_3b,Q7_1_3c,Q7_1_4a,AL4c,Q7_1_4b,Q7_1_4c,Q7_1_5a,AL5c,Q7_1_5b,Q7_1_5c
,70120220,subject-2017120220,female,wym,0,7,7,0,0,1,0,1,0,0,3,Maj,2002,2002-05,0,2,4,4,8,0,4+,od zawsze,,49.916321,19.152736,0,3,3,,49.916321,19.152736,None,2,4,8,8,0,,,0,2,angielski,English,6,7,niemiecki,German,1,2,,,,,,,,,,,,
103,70120213,subject-2017120213,female,wym,0,5,5,0,0,1,0,4,0,0,4,maj,2000,2000-05,2,4,4,4,5,0,0,nie wiem,,49.916321,19.152736,0,2,2,,49.916321,19.152736,None,1,2,8,8,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
,70120217,subject-2017120217,female,wym,0,6,6,0,None,1,0,1,1,0,3,listopad,2004,2004-11,0,3,4,4,4,0,0,nie wiem,,49.916321,19.152736,1,None,2,stara wieś,49.908274,19.113276,2,1,1,None,None,0,2,2,0,1,angielski,English,6,6,niemiecki,German,1,1,,,,,,,,,,,,
44,80100419,subject-2018100419,male,wym,0,4,4,0,0,1,0,1,0,1,3,kwiecien,1999,1999-04,4,2,4,4,4,1,,,"Sankt Petersburg, Rosja",,,1,None,2,"Wrszawa, Polska",52.23,21.011111,2,3,5,8,8,0,5,5,0,0,rosyjski,Russian,9,9,angielski,English,6,7,czeski,Czech,5,8,ukrainski,Ukrainian,2,8,,,,
,70112612,subject-2017112612,male,wym,1,5,5,0,0,0,0,0,0,0,2,Luty,1992,1992-02,6,3,4,3,4,0,0,nie wiem,,49.916321,19.152736,1,None,1,Krakow,50.061781,19.93737,1,0,2,8,8,0,0,0,0,0,angielski,English,9,9,niemiecki,German,3,4,,,,,,,,,,,,
,70120416,subject-2017120416,male,wym,1,6,6,0,0,2,1,3,0,0,3,luty,1999,1999-02,2,3,4,4,6,0,0,nie wiem,,49.916321,19.152736,0,1,1,,49.916321,19.152736,None,6,7,8,8,0,12,12,2,1,angielski,English,8,8,niemiecki,German,5,6,,,,,,,,,,,,
,70120114,subject-2017120114,female,wym,0,4,4,0,0,0,0,1,None,0,3,3,1981,1981-03,7,2,3,4,5,1,,,Stara Wieś,49.908274,19.113276,1,None,None,Stara Wieś,49.908274,19.113276,None,1,3,8,8,0,1,1,1,0,Angielski,English,7,9,niemiecki,German,1,2,,,,,,,,,,,,
,70120219,subject-2017120219,female,wym,0,6,6,0,0,1,0,3,1,1,4,luty,2003,2003-02,0,4,4,4,7,0,4+,"Z opowiesci mojego dziadka, odkad powstaly Wilamowice",,49.916321,19.152736,0,4,4,,49.916321,19.152736,None,0,2,8,8,0,6,6,1,2,angielski,English,3,4,,,,,,,,,,,,,,,,
,70112817,subject-2017112817,female,wym,1,5,5,2,2,1,1,4,0,1,3,3,1993,1993-03,8,4,4,4,8,0,4+,"okolo7 pokolen, ktore udalo sie udokumentowac",,49.916321,19.152736,0,4,4,,49.916321,19.152736,None,3,4,7,8,0,20,20,2,3,Angielski,English,4,4,francuski,French,2,2,,,,,,,,,,,,
104,80092130,subject-201909211300,male,wym,0,6,5,0,2,1,0,4,0,0,4,3,1999,1999-03,2,3,4,4,7,0,4+,From the beggining of this city,,49.916321,19.152736,0,1,1,,49.916321,19.152736,None,1,2,8,8,0,4,4,1,1,Anglski,English,7,7,Niemicki,German,2,2,Japonski,Japanese,2,3,,,,,,,,
,70120521,subject-2017120521,male,wym,1,7,7,0,0,2,0,3,0,0,4,12,1986,1986-12,8,2,4,4,7,1,,,"Kety, 10 kilometers from Wilamowice. ",49.883468,19.22128,1,None,1,Porabka,49.817041,19.217579,1,2,6,7,8,0,2,2,1,3,Ukrainski,Ukrainian,7,8,Angielski,English,6,7,Niemiecki,German,4,6,Hiszpanski,Spanish,2,5,Rosyjski,Russian,5,7
,70120216,subject-2017120216,female,wym,1,7,7,0,0,3,0,3,0,0,4,luty,2005,2005-02,0,3,4,4,7,0,0,nie wiem,,49.916321,19.152736,1,None,1,Stara Wies,49.908274,19.113276,1,3,4,8,7,0,3,3,1,1,Angielski,English,6,4,Niemiecki,German,4,3,,,,,,,,,,,,
100,70112622,subject-2017112622,male,wym,1,3,3,2,2,4,2,2,0,0,3,lipiec,1993,1993-07,6,3,4,4,8,0,2,2,,49.916321,19.152736,0,3,3,,49.916321,19.152736,None,8,8,6,6,0,20,20,4,8,niemiecki,German,8,10,angielski,English,5,7,slaski,Silesian,7,9,niderlandzki,Dutch,5,5,,,,
,70120214,subject-2017120214,female,wym,0,7,7,0,0,0,0,1,0,0,3,kwiecien,2004,2004-04,0,None,3,4,7,1,,,Stara Wies,49.908274,19.113276,1,None,3,Stara Wies,49.908274,19.113276,3,1,3,8,7,1,3,3,0,1,,,,,,,,,,,,,,,,,,,,
,70112615,subject-2017112615,male,wym,0,5,4,0,0,0,0,1,0,0,2,lipiec,1999,1999-07,2,2,4,4,6,0,4+,od zawsze,,49.916321,19.152736,0,2,2,,49.916321,19.152736,None,2,4,8,8,0,1,1,0,0,angielski,English,7,7,wloski,Italian,3,4,,,,,,,,,,,,
